,q10,q50,q90,truth,$btc_dom,$fg_index,$high_vol_flag,$momentum_10,$momentum_25,$momentum_5,$realized_vol_6,$relative_volatility_index,OPEN1,RSV1,RSV2,RSV3,VOLUME1,btc_dom_high,btc_dom_low,btc_std_7d,btc_zscore_14d,fg_extreme_fear,fg_extreme_greed,fg_std_7d,fg_zscore_14d,vol_extreme_high,vol_extreme_low,vol_high,vol_low,vol_momentum_scaled,vol_raw,vol_raw_decile,vol_raw_momentum,vol_risk,vol_scaled,vol_regime_low,vol_regime_medium,vol_regime_high,momentum_regime_trending,momentum_regime_ranging,regime_low_vol_trending,regime_low_vol_ranging,regime_high_vol_trending,regime_high_vol_ranging,regime_stability,spread,abs_q50,market_variance,prediction_variance,total_risk,enhanced_info_ratio,info_ratio,potential_gain,potential_loss,prob_up,expected_value,variance_regime_low,variance_regime_medium,variance_regime_high,variance_regime_extreme,signal_thresh_adaptive,effective_info_ratio_threshold,economically_significant_traditional,economically_significant_expected_value,economically_significant_combined,economically_significant,high_quality,tradeable,q50_x_low_variance,q50_x_high_variance,q50_x_extreme_variance,q50_x_trending,spread_x_high_variance,vol_risk_x_abs_q50,enhanced_info_ratio_x_trending,signal_to_variance_ratio,variance_adjusted_signal,signal_rel,signal_tier,kelly_position_size,signal_tanh,side,signal_strength,position_size_suggestion
q10,1.0,-0.06721516095697366,-0.7613676628329462,0.19756989342801523,-0.05785649922444863,0.03198860767833955,-0.027902140020347677,0.11413233814003942,0.1168235210962104,0.09603564950194374,-0.6441753173554978,-0.06377189028010745,-0.0735809442221225,0.013999083448849993,0.016293356582812443,0.023811382705708404,-0.00199691690826442,-0.13826281343105207,0.014649144681055663,-0.5203295849542974,0.0005353334234032324,-0.28522891688839475,-0.19718850326973708,-0.24609259757902166,0.1628963158150038,-0.15697181847761807,0.11371588330806946,-0.1768959287303221,0.1460015882444838,-0.03869592282866749,-0.6441753173554978,-0.2091454605960288,-0.03869592174297732,-0.4082414826195554,-0.10527303147302337,,,,,,,,,,0.15719552417302335,-0.9390197658544585,-0.19240635632802955,-0.4082414826195554,-0.8407983440580099,-0.8013349747686477,0.31671435840329293,0.32313446051348865,-0.8384870132725567,-0.9263399781411303,0.09752424866502912,0.07383060197459794,0.4167477110752377,0.07851619365704393,-0.2334731484404109,-0.45350527781651684,-0.6249299659159677,-0.5529639824177255,0.03188430276820586,-0.08830773171022889,-0.0653057240157205,-0.08830773171022889,,-0.08830773171022889,0.09042486204442128,-0.08217537576743716,-0.21003178682293658,,-0.3508540388250841,-0.36576336515012664,,-0.0471800930144391,-0.036560293698382165,0.07752739867347133,0.06640898833805227,0.0004688441746462623,0.07593793216943326,-0.03456438215197422,0.08444546201060253,-0.04373599173178593
q50,-0.06721516095697366,1.0,0.17150971540408055,0.09589187844333735,0.11002304713884438,0.1072336839166549,0.05883220396795868,-0.3062297949769107,-0.1622955196259033,-0.43426372832875304,0.0911089960939642,0.07490548823376932,0.5002833230819437,-0.3921102997559742,-0.5580013792370823,-0.6143308302096004,0.002604949721727738,0.05356862667855764,-0.10044562073908433,0.09754039930637091,0.23599057302130516,0.0011268615891859928,0.07243330230998296,0.03813142741844773,0.039043940039154526,0.06624280155403793,-0.06651296629729318,0.09190354473096737,-0.0878432240192525,0.030076629704591424,0.0911089960939642,0.11407522247759147,0.030076629301011328,0.028828781619784655,0.08825749325153721,,,,,,,,,,-0.012661986812078823,0.12694055534501172,0.616157274561232,0.028828781619784655,0.09267723061537383,0.11089969553286919,0.3878222314821722,0.42939571382920266,0.14891595437264082,0.08838388869239276,0.7746249937075339,0.25717943520989317,-0.10129754446055561,0.018447975163468834,0.04622726361382611,0.06297281000024997,0.09330574124771572,0.09750397822743889,0.3557045941231694,0.33323990002085885,0.3771565957171336,0.33323990002085885,,0.33323990002085885,0.42264779738901004,0.4699760976140749,0.3528379731518962,,0.055910371815100154,0.12391268479197834,,0.576042643139553,0.9900955092270012,0.5228552522620504,0.5015920474993348,0.026981671712448446,0.5344696380481696,0.42846673385660855,0.4510835307683063,0.33080409462810817
q90,-0.7613676628329462,0.17150971540408055,1.0,0.1643429379430803,0.11835722644980919,0.015411824495451271,0.04397652198997945,-0.06533613863446688,-0.09346937670666208,-0.050936299730528725,0.6951151857953978,0.10315828711356156,0.055675884506654734,0.008831232771052633,0.008548264508199226,0.010276854429000342,0.001001919089279754,0.1812840405915427,-0.08124725854978931,0.5292671625265005,0.1506849448890576,0.2842897228186939,0.24024901443313446,0.22772466742373348,-0.12582982869841763,0.2118708443633737,-0.15364406972525885,0.23759015171526313,-0.18285407603695325,0.06058833167102629,0.6951151857953978,0.2736605437213125,0.06058833099880798,0.43551485644197685,0.13646589515066126,,,,,,,,,,-0.16979039468645435,0.9378727764108609,0.2667627074826444,0.43551485644197685,0.8049742508860948,0.8331432857324076,-0.3020945787618686,-0.2858960011884133,0.9282820000312674,0.8310899018799353,0.04114470608344495,0.21686272378598884,-0.46760536326051294,-0.06827352977401616,0.24182315474290747,0.5033320850662996,0.6817723830001957,0.6161370505910553,0.0006249630902303528,0.28631073092050136,0.27417891955491097,0.28631073092050136,,0.28631073092050136,-0.07249159099579587,0.13874646355379383,0.29621569338472853,,0.3415317526299889,0.40748386513014645,,0.10309501194815882,0.13105179238348588,-0.04382430949274205,-0.03195682592957598,0.014135147346499382,-0.040717442275879326,0.30846097232049347,0.06179947578523135,0.2328617631176086
truth,0.19756989342801523,0.09589187844333735,0.1643429379430803,1.0,0.013854298698138893,0.012014604982388549,-0.003775579500761274,-0.0029307912002618313,-0.009149378521863418,-0.012796930281103482,0.009836693041613696,0.0003376736680900227,0.01592817056658357,-0.006808627157455064,-0.006156815585717198,-0.005910331188170697,-0.000159651004886849,0.011423438391335285,-0.017212368663542667,-0.0028677422050417964,0.035059545589140054,-0.0027352218023721604,0.013495675581479363,-0.003351399499973811,0.013891448545121357,0.0011244325453850946,-0.0036606499942501217,0.002235796076611917,0.0015399013075910002,-0.009778163920308775,0.009836693041613696,0.0022144135218082036,-0.009778163726487946,0.02018349531159419,-0.0001539565221768756,,,,,,,,,,-0.00010630836655466175,-0.018572894697639286,0.050446151651053865,0.02018349531159419,-0.032870503137056924,-0.0016431193566129882,0.029297969632566298,0.03489952268030193,0.04680721702542348,-0.08403116397142002,0.09268206251544471,0.20656956489879427,-0.0061811715312195285,0.005008101965774591,-0.001189307961037785,0.0028495939818615704,0.011381478990154573,0.005174283995212384,0.03211998194524808,0.10433812834871616,0.11550310663589375,0.10433812834871616,,0.10433812834871616,0.025658364492509564,0.05417619410485244,0.06677175423311713,,-0.013814120857809177,0.03556798755806804,,0.04214314241411888,0.08811483290557551,0.03859614465521427,0.038038788965396135,0.005993848889596097,0.03993018197574156,0.16133904557940254,0.08712584923432634,0.09792361356592023
$btc_dom,-0.05785649922444863,0.11002304713884438,0.11835722644980919,0.013854298698138893,1.0,0.2580244996737947,-0.007734197757910841,0.04009001402082047,0.059651879885141285,0.028713553048977953,0.0700851615900809,0.0033483956234423556,-0.01681945196815171,0.031248571296555637,0.037128213748872,0.04035182321003429,-0.00042027862389566593,0.7777636839156511,-0.5682938308771753,0.19748085982764021,0.08370940713850487,-0.010207711864600648,0.24649895039956707,0.11128235222803333,0.036389482316904476,0.004673027029455175,0.0026525266800303967,0.0044205195061648725,-0.0011611794630390414,-0.00040895219851832604,0.0700851615900809,0.002711487063786329,-0.00040895232376613556,0.04969869314919586,0.005692475234836922,,,,,,,,,,-0.45867835966443044,0.09374023185393218,0.018217528455430627,0.04969869314919586,0.08402257582332026,0.08543338453719408,-0.06385316866717337,-0.05783769984685506,0.10625389175565832,0.06910314221377209,0.0830729231135876,0.07698235459599138,-0.03296438799130393,-0.003511720701854216,-0.0007835343803298795,0.05713281640802384,0.061365533214224756,0.06034094737078701,0.03519600175533119,0.10088791037649136,0.0943850078184954,0.10088791037649136,,0.10088791037649136,0.014622602464692174,0.06888036271253889,0.0692205251185602,,0.018719459507931194,0.05369772428336829,,-0.0061324331685339685,0.10440477397999148,-0.018621383787519277,0.00649308956249807,0.006856905919106199,-0.010687045261753892,0.11730287118385328,0.06227843081250268,0.09448286963321761
$fg_index,0.03198860767833955,0.1072336839166549,0.015411824495451271,0.012014604982388549,0.2580244996737947,1.0,0.002911043185398274,0.0652639035826247,0.15148916249947506,0.03904218386372013,-0.036013669391416106,0.019882213291726264,-0.02258353096970971,0.040434036050292305,0.050298255763798684,0.05807139212806312,0.007220000386193437,0.06849418267422125,-0.32831855736235827,0.08303111583195638,-0.04216246124837162,-0.4831052612697991,0.4687570446272291,-0.03460256318844262,0.2779413210710148,-0.0007648089363397756,-0.010252126284185986,0.0077235444652950834,-0.010377352952991104,0.0024969161149442035,-0.036013669391416106,0.012362879635379983,0.0024969161439521185,-0.04384434135527025,0.03191448588799592,,,,,,,,,,0.1876181184271558,-0.008945927415483407,0.11005399735875472,-0.04384434135527025,-0.030696595339123712,-0.02959839136851761,0.06258238733135857,0.061824590254950774,0.0018084932089264649,-0.018981819222155315,0.08391810586863374,0.04806794833072621,-0.021920593339660985,0.03833644123419486,0.006240917383950029,-0.03743867481884929,-0.029703828912421976,-0.0187759917221601,0.08267546301659155,0.07463910879676576,0.0833421118764531,0.07463910879676576,,0.07463910879676576,0.026323912078201662,0.05580991162105901,0.04283117819243596,,-0.0011694302278355674,-0.012508984153233578,,0.11544017247575235,0.1056014509504893,0.10387907678361925,0.10898543584831587,0.00931100723353693,0.10921887981824809,0.09127433375044765,0.11866406516383746,0.08178890535932855
$high_vol_flag,-0.027902140020347677,0.05883220396795868,0.04397652198997945,-0.003775579500761274,-0.007734197757910841,0.002911043185398274,1.0,-0.031956847977782914,-0.021048340078995025,-0.03149759964074341,0.33927614448748705,0.7787238175207938,0.016222647326771356,0.005891907758938736,0.0029163326131329973,-0.0030572340797747006,-0.003174049174267335,-0.014058801869081412,0.0029144861185690365,-0.019346733252570476,0.016097463267661406,-0.009763584748502661,-0.00774830136406539,-0.011418739863322785,0.0003978324422648536,0.38439943646196295,-0.188116008805659,0.4645371106387518,-0.32906712849873215,0.23325553166085364,0.33927614448748705,0.49998445420409315,0.23325553182970718,0.16318822281168538,0.6397486951961698,,,,,,,,,,0.02338383591697267,0.038257895047115964,0.005005654322442273,0.16318822281168538,0.024237697013332615,0.2422058350226681,-0.1542137987030484,-0.02934134053024091,0.03921968037407167,0.03252244566648976,0.06989120461682376,0.0235137132782935,-0.24733961328531653,-0.07708915265384646,0.18696637600837657,0.25441023805663293,0.3473429730816241,0.31667005027980977,-0.07393448158088449,0.05678354359108233,0.04879582713041327,0.05678354359108233,,0.05678354359108233,-0.052478958135596214,0.08037275227897908,0.11677835438844988,,0.09886368761873453,0.1364166406573117,,-0.06338960175439246,0.04320007848033538,-0.1504188868094063,-0.12672960358224716,0.009358683344088604,-0.1478524076166472,0.058560112204456206,-0.029356292376597804,0.0377706087521705
$momentum_10,0.11413233814003942,-0.3062297949769107,-0.06533613863446688,-0.0029307912002618313,0.04009001402082047,0.0652639035826247,-0.031956847977782914,1.0,0.6441037017721144,0.6969395187357348,-0.07417097833646233,-0.0338917435916393,-0.441772919509786,0.130905295383108,0.19870908623285644,0.26294886964024,-0.0017086194479307595,0.026772470423763187,-0.04222659209633028,-0.007159552940397942,0.08357733266285221,-0.035129121714375565,0.05270692493843425,-0.012459448659419704,0.1013945505450633,-0.029852969841745694,0.015625317311077892,-0.03240997086368936,0.02282866395403071,-0.024644155194312425,-0.07417097833646233,-0.03631459040247299,-0.024644154532937532,-0.11897699895969166,-0.044425690207593134,,,,,,,,,,4.562188905163362e-05,-0.095737012538713,-0.1387414884483186,-0.11897699895969166,-0.15538374922332668,-0.08792411748278378,-0.07028916534390568,-0.07999109126672531,-0.0812572988830857,-0.09883799649209317,-0.18239554080696715,-0.02793722667446281,-0.0031493327132324006,0.015787383610786437,0.01727141544134887,-0.04399786389333271,-0.06606354491028395,-0.03285389685047267,-0.05813509658500315,-0.03751559365793505,-0.043929564747209056,-0.03751559365793505,,-0.03751559365793505,-0.06017601567615444,-0.1878399226772839,-0.18816389947811082,,0.007171089544194844,-0.1380764873865477,,-0.10332334818014038,-0.29166383965273285,-0.0972613741289589,-0.09321180259805723,0.004919622199718263,-0.1000949057857027,-0.0600491115433352,-0.07290413750955549,-0.024386338989292558
$momentum_25,0.1168235210962104,-0.1622955196259033,-0.09346937670666208,-0.009149378521863418,0.059651879885141285,0.15148916249947506,-0.021048340078995025,0.6441037017721144,1.0,0.4492295258381267,-0.0987542915821503,-0.019822204362267122,-0.28277979665347586,0.09141744600238981,0.12205542214742214,0.15517073501979411,-0.0008266180565181724,0.03800126567292948,-0.05800897390045407,-0.0072321732351905066,0.10821370005174868,-0.09806169742124149,0.10278328675543942,-0.026884697167538035,0.2689578799457632,-0.041738693486930135,0.021626034412676767,-0.04579260807536579,0.032442135718780234,-0.011968098597735928,-0.0987542915821503,-0.04980266064110717,-0.011968098166470247,-0.14452166520172813,-0.04018440154461703,,,,,,,,,,-0.00018704387028553306,-0.11209893793130113,-0.06504140907125568,-0.14452166520172813,-0.191351042251477,-0.1090596280564961,-0.028661466599067573,-0.030956729372631348,-0.09341924105664744,-0.11751634651216543,-0.0895481062147082,0.002954119264603606,-0.0052164429632672125,0.025658279746695604,0.02015967748354265,-0.06081001667701734,-0.0842042727125342,-0.044995706991468654,-0.020613672422411928,0.0013826414323575877,-0.0010850286199139047,0.0013826414323575877,,0.0013826414323575877,-0.027265734863645148,-0.09943991599413234,-0.10574961591922605,,0.011489615328528833,-0.13412963825473995,,-0.03139104413761757,-0.15253748210373952,-0.03385104584099005,-0.03535576447320403,0.0060350077002618045,-0.03577191335644737,-0.014906425028122252,-0.021511014055051247,0.017404992533615278
$momentum_5,0.09603564950194374,-0.43426372832875304,-0.050936299730528725,-0.012796930281103482,0.028713553048977953,0.03904218386372013,-0.03149759964074341,0.6969395187357348,0.4492295258381267,1.0,-0.03396330936313221,-0.026623723311757434,-0.6235081260543199,0.18642841289493292,0.30216543811755375,0.40821161429438535,-0.0038525844976661856,0.019315906987332966,-0.03305160654253088,-0.004635851187120713,0.06296349431084446,-0.01640318367976268,0.034545856245679255,-0.008220157929823267,0.05531907333045484,-0.017983945886778367,-0.00034636204959781534,-0.013549659232031643,0.005360964278246853,-0.053144605160470884,-0.03396330936313221,-0.012432400775539263,-0.05314460456867385,-0.055888125173708676,-0.0262624961754036,,,,,,,,,,-6.705299431016394e-05,-0.07841417042396534,-0.26969023905794287,-0.055888125173708676,-0.13001775329127122,-0.054335078409469315,-0.14874334510353873,-0.1694361378695944,-0.07621716325997333,-0.07093990313437505,-0.26656286661703926,-0.08026078854574968,-0.005485347116667735,0.010485058621232519,0.010589793877858815,-0.022862320455706457,-0.03013773228747048,-0.015235295936556698,-0.0989254616750269,-0.07488001638437343,-0.09542980178260063,-0.07488001638437343,,-0.07488001638437343,-0.08914978879469881,-0.26399631102592047,-0.28039591231578176,,-0.0008257453637043679,-0.15685832895300178,,-0.22258813300488411,-0.410906115782434,-0.20466698010558318,-0.17286888001253348,-0.0023301579798183374,-0.20227822034752735,-0.11025488833564456,-0.1261801654157384,-0.06386170374889559
