date,pnl_sum,pnl_count,pnl_mean,is_profitable_mean,position_change_sum,total_cost_sum,portfolio_value_last,drawdown_max
2022-04-15,0.0,17,0.0,0.0,0.0,0.0,100000.0,0.0
2022-04-16,0.0,24,0.0,0.0,0.0,0.0,100000.0,0.0
2022-04-17,0.0,24,0.0,0.0,0.0,0.0,100000.0,0.0
2022-04-18,0.0,24,0.0,0.0,0.0,0.0,100000.0,0.0
2022-04-19,0.0,24,0.0,0.0,0.0,0.0,100000.0,0.0
2022-04-20,0.0,24,0.0,0.0,0.0,0.0,100000.0,0.0
2022-04-21,0.0,24,0.0,0.0,0.0,0.0,100000.0,0.0
2022-04-22,-59.8203,24,-2.4925,0.0,0.0,0.0005,99940.1791,0.0006
2022-04-23,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-04-24,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-04-25,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-04-26,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-04-27,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-04-28,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-04-29,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-04-30,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-01,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-02,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-03,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-04,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-05,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-06,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-07,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-08,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-09,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-10,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-11,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-12,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-13,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-14,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-15,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-16,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-17,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-18,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
2022-05-19,0.0,24,0.0,0.0,0.0,0.0,99940.1791,0.0006
