timestamp_formatted,date,hour,day_of_week,signal,capital,position,cumulative_pnl,drawdown,timestamp
2022-04-15 07:00:00,2022-04-15,7,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 07:00:00
2022-04-15 08:00:00,2022-04-15,8,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 08:00:00
2022-04-15 09:00:00,2022-04-15,9,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 09:00:00
2022-04-15 10:00:00,2022-04-15,10,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 10:00:00
2022-04-15 11:00:00,2022-04-15,11,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 11:00:00
2022-04-15 12:00:00,2022-04-15,12,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 12:00:00
2022-04-15 13:00:00,2022-04-15,13,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 13:00:00
2022-04-15 14:00:00,2022-04-15,14,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 14:00:00
2022-04-15 15:00:00,2022-04-15,15,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 15:00:00
2022-04-15 16:00:00,2022-04-15,16,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 16:00:00
2022-04-15 17:00:00,2022-04-15,17,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 17:00:00
2022-04-15 18:00:00,2022-04-15,18,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 18:00:00
2022-04-15 19:00:00,2022-04-15,19,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 19:00:00
2022-04-15 20:00:00,2022-04-15,20,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 20:00:00
2022-04-15 21:00:00,2022-04-15,21,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 21:00:00
2022-04-15 22:00:00,2022-04-15,22,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 22:00:00
2022-04-15 23:00:00,2022-04-15,23,Friday,HOLD,100000.0,0.0,0.0,0.0,2022-04-15 23:00:00
2022-04-16 00:00:00,2022-04-16,0,Saturday,HOLD,100000.0,0.0,0.0,0.0,2022-04-16 00:00:00
