,0
$realized_vol_6,4556.07965259254
vol_raw_decile,2030.3470534831285
$momentum_25,1763.7171672731638
btc_std_7d,1578.681556686759
vol_scaled,1494.1041072905064
VOLUME1,1478.526555225253
$relative_volatility_index,1474.3596564382315
vol_momentum_scaled,1461.5448264628649
OPEN1,1446.5336051434278
$momentum_5,1372.152730166912
$momentum_10,1363.312422644347
$btc_dom,1324.4274246655405
RSV1,1303.1645509451628
fg_std_7d,1238.1957913190126
btc_zscore_14d,1159.3667501211166
RSV2,1120.1273700147867
fg_zscore_14d,1113.0927691459656
$fg_index,1102.4212246090174
RSV3,1027.7952601909637
vol_extreme_low,15.905500054359436
vol_extreme_high,13.646872967481613
vol_high,7.458766043186188
$high_vol_flag,6.28068009018898
vol_low,3.4784759879112244
btc_dom_low,0.6561650037765503
btc_dom_high,0.0
fg_extreme_greed,0.0
fg_extreme_fear,0.0
vol_raw,0.0
vol_raw_momentum,0.0
vol_risk,0.0
