,0
OPEN1,626.9903000593185
btc_zscore_14d,382.75427055358887
$momentum_5,306.3957803249359
VOLUME1,254.91447043418884
$btc_dom,210.7972193956375
RSV3,210.18329977989197
$momentum_10,184.78639948368073
RSV1,183.853600025177
vol_scaled,183.20160973072052
RSV2,174.8846492767334
fg_std_7d,164.08502054214478
$momentum_25,139.89406025409698
$fg_index,138.24972069263458
btc_std_7d,137.00818002223969
vol_momentum_scaled,132.72290122509003
$realized_vol_6,118.25832998752594
fg_zscore_14d,112.12822079658508
$relative_volatility_index,108.1993498802185
vol_raw_decile,106.28788113594055
btc_dom_low,0.0
btc_dom_high,0.0
$high_vol_flag,0.0
fg_extreme_greed,0.0
vol_extreme_low,0.0
vol_extreme_high,0.0
fg_extreme_fear,0.0
vol_high,0.0
vol_raw,0.0
vol_low,0.0
vol_raw_momentum,0.0
vol_risk,0.0
