,,$approx_atr14,$cni,$cwt_back_to_the_70s,$cwt_environment,$cwt_geopolitical_risk,$cwt_monetary,$cwt_roaring_20s,$cwt_secular_stagnation,$cwt_social,$delta_cwt_back_to_the_70s,$delta_cwt_environment,$delta_cwt_geopolitical_risk,$delta_cwt_monetary,$delta_cwt_roaring_20s,$delta_cwt_secular_stagnation,$delta_cwt_social,$high_vol_flag,$momentum_10d,$momentum_5d,$narrative_anomaly_flag,$realized_vol_10d,$realized_vol_20d,$realized_vol_5d,$relative_volatility_index,$z_cwt_back_to_the_70s,$z_cwt_environment,$z_cwt_geopolitical_risk,$z_cwt_monetary,$z_cwt_roaring_20s,$z_cwt_secular_stagnation,$z_cwt_social
2017-11-26,BTCUSDT,11,15,5,6,12,23,14,9,11,4,17,11,4,18,2,13,0,8,24,0,3,1,5,7,3,5,15,12,17,4,15
2017-12-06,BTCUSDT,19,9,13,6,5,5,9,4,3,12,14,7,10,16,2,10,0,2,23,0,7,9,2,15,7,7,18,8,32,8,7
2017-12-16,BTCUSDT,4,15,9,6,16,5,5,8,7,9,12,9,22,16,5,11,0,2,24,0,8,5,3,7,6,2,14,15,18,10,11
2017-12-26,BTCUSDT,1,4,12,4,23,14,12,2,5,3,5,7,14,27,15,13,0,6,29,0,7,15,4,11,7,1,9,17,10,3,10
2018-01-05,BTCUSDT,6,3,21,4,10,17,4,6,4,7,5,12,20,21,15,9,0,7,35,0,1,11,2,10,4,7,15,2,14,4,12
2018-01-15,BTCUSDT,12,6,24,1,6,16,13,2,8,11,2,5,9,14,28,12,0,8,27,0,5,13,3,5,3,8,10,10,8,7,14
2018-01-25,BTCUSDT,7,3,8,6,12,6,4,10,15,4,13,14,14,17,21,9,0,5,23,0,0,5,2,5,3,11,18,10,18,14,5
2018-02-04,BTCUSDT,7,2,4,4,1,13,10,12,8,7,8,5,10,21,5,15,0,6,28,0,2,5,3,10,1,17,19,12,16,20,11
2018-02-14,BTCUSDT,2,9,8,3,7,6,13,6,13,13,11,6,10,16,21,15,0,1,33,0,2,5,8,13,2,9,15,6,10,12,12
2018-02-24,BTCUSDT,7,3,2,3,20,4,4,6,7,15,18,9,4,24,23,18,0,4,33,0,1,3,12,7,11,13,7,5,4,17,4
2018-03-06,BTCUSDT,4,8,11,4,4,8,12,8,8,13,24,12,5,20,9,13,0,7,33,0,7,3,2,8,2,17,8,6,7,18,4
2018-03-16,BTCUSDT,7,6,15,4,9,10,15,8,2,9,25,4,7,18,8,14,0,5,27,0,7,4,1,1,1,10,17,2,8,26,2
2018-03-26,BTCUSDT,5,8,6,3,6,11,9,11,12,14,37,15,3,10,11,13,0,9,27,0,6,9,6,16,4,0,4,1,6,9,5
2018-04-05,BTCUSDT,9,16,5,4,7,11,11,10,8,7,9,5,13,23,5,8,0,8,21,0,4,11,6,25,4,6,15,3,11,9,8
2018-04-15,BTCUSDT,10,25,12,2,1,9,6,9,4,6,17,14,18,6,17,4,0,11,25,0,3,11,2,7,2,4,11,3,18,5,12
