,tier,reward,position
0,1,-0.000480826,0.4005898
1,1,-0.000833424,1
2,1,-0.004004717,1
3,3,-0.000893831,1
4,2,0.068793297,1
5,1,-0.017913103,1
6,0,0.011274477,0.56948274
7,2,-0.004125212,0.8202928
8,2,-0.062991848,0.85581577
9,2,0.000889506,0.5024086
10,0,-0.01331591,0.71455365
11,1,0.012844455,0.30778012
12,1,0.00360656,1
13,0,-0.008438787,0.9505954
14,0,-0.03310264,0.27072755
15,1,0.002164775,0.26373178
16,3,-0.000707347,-0.43428624
17,1,0.000853226,-0.12893082
18,1,0.00493066,0.7731926
19,3,0.006427629,0.7858002
20,1,0.003451394,1
21,1,-0.003088176,1
22,1,0.046605825,1
23,1,0.007104039,1
24,1,-0.002126515,1
25,1,0.030254841,1
26,1,-0.008350492,1
27,3,-0.008739072,0.711691
28,1,0.008288046,0.82367903
29,1,0.002046085,1
30,1,-0.004372895,1
31,1,-0.009955823,1
32,1,0.002954721,1
33,1,0.009137511,1
34,3,0.029018164,1
35,3,0.021173716,1
36,2,0.040719271,1
37,1,0.013118744,1
38,1,0.011494994,1
39,1,0.033484101,1
40,1,-0.004360795,1
41,1,0.042164922,1
42,1,0.001637816,1
43,1,0.004521047,0.83016026
44,1,-0.007852446,1
45,1,0.009585738,1
46,1,-0.006961226,1
47,1,0.009349942,1
48,1,-0.007834673,1
49,1,-0.010819197,1
50,1,-0.010612011,1
51,1,0.016239762,1
52,1,0.003114939,1
53,2,0.053115726,1
54,2,0.047008753,1
55,2,0.094583035,1
56,1,-0.020840585,1
57,1,0.020561099,1
58,0,-0.006421387,1
59,1,0.018176079,1
60,0,0.08130908,1
61,1,-0.066256166,1
62,1,0.036878228,1
63,1,0.011337757,1
64,1,0.0194695,1
65,1,0.00277555,1
66,1,0.009406805,1
67,1,0.045278549,1
68,1,-0.008686304,1
69,0,0.021008531,-0.083077446
70,1,0.001826505,0.000864911
71,1,-0.000344061,0.28240633
72,2,-0.017456654,-0.054382008
73,1,-0.00394506,0.8791929
74,1,-0.01019973,1
75,1,-0.084374146,0.6054088
76,1,0.057558195,0.7384836
77,1,-0.025759709,1
78,0,-0.026024342,1
79,1,0.003031015,1
80,1,0.050320029,1
81,0,0.039726496,1
82,2,0.001545429,1
83,1,-0.007510542,0.8962468
84,1,0.016799298,1
85,1,-0.013140082,1
86,1,-0.004719194,0.34032708
87,1,0.007973169,0.6294599
88,1,-0.014779036,0.95832944
89,1,-0.057636157,1
90,0,0.00762701,1
91,1,0.038271427,1
92,1,-0.009741485,1
93,3,0.015843206,0.9870246
94,1,0.006639931,1
95,1,0.032577753,1
96,1,-0.035887062,0.07975699
97,1,0.001330205,-0.24898104
98,1,0.000834664,0.6838906
99,0,-0.028838478,0.194621
100,1,-0.009323728,0.26017025
101,1,0.006736925,0.5516286
102,3,-0.019382833,1
103,1,0.005887747,1
104,2,-0.039440155,1
105,1,0.035783291,1
106,1,0.005481839,1
107,1,0.017590284,1
108,1,8.58E-06,1
109,1,0.028378433,0.55591273
110,1,-0.003690371,0.27664983
111,1,-0.009259345,-0.072457306
112,1,-0.001342565,0.7204703
113,1,-0.008454307,1
114,1,-0.0056637,0.36700323
115,1,-0.002592346,-0.12073172
116,1,-0.002929201,0.87908745
117,3,-0.044092247,1
118,2,-0.038024664,1
119,1,0.011918783,1
120,1,0.064703107,1
121,3,0.01606226,1
122,1,0.00125554,0.5019974
123,1,-0.006882642,0.7200057
124,1,-0.010043629,1
125,3,-0.018640676,0.46252406
126,1,0.013535367,1
127,3,-0.036113206,0.9417315
128,1,0.000323693,0.8656326
129,1,0.009220816,1
130,1,0.023682475,1
131,1,-0.021649003,1
132,3,0.075173736,1
133,1,-0.01467061,1
134,1,0.02742064,1
135,1,-0.001623273,1
136,1,-0.009582222,1
137,1,0.078048825,1
138,1,-0.018171251,1
139,1,-0.014856191,0.350031
140,1,-0.006105719,0.30292186
141,1,0.002133175,0.6836802
142,1,0.007253148,0.80881464
143,1,-0.009196316,0.86494064
144,1,0.011661342,0.80228245
145,1,-0.012210986,1
146,1,-0.01115929,0.77275074
147,1,0.007821641,0.9313374
148,1,-0.011137233,1
149,1,0.003358603,1
150,1,-1.80E-05,1
151,1,0.015409946,1
152,3,0.025111914,1
153,3,0.008082986,1
154,1,-0.004671381,0.7141238
155,1,-0.014761654,0.8990353
156,1,-0.000601953,0.9156829
157,0,0.004089872,0.5956053
158,1,-0.00097558,0.5460167
159,1,-0.017527405,0.49613532
