tier,total_pnl,avg_exposure,efficiency,,"row[""q10""],"
0,0.338042673,0.9739643,0.34707913,,"row[""q90""],"
1,0.670544615,0.8663245,0.774010924,,"row[""q50""],"
2,0.989169834,0.9858552,1.003362169,,"spread,"
3,0.336015613,0.93652904,0.358788248,,"row[""fg_index""],"
Unknown,0.002573788,1,0.002573788,,"row[""btc_dom""],"
,,,,,"row[""momentum_5d""],"
,,,,,"row[""momentum_10d""],"
,,,,,"self.position,  # <— position persistence added here"
,,,,,"row[""vol_scaled""],  # ??? Regime-aware observation"
,,,,,"row[""signal_tier""]"
