timestamp_formatted,side,trade_type,original_signal,trade_explanation,quantity,price,position_before,position_after,fee_cost,slippage_cost,balance_after,timestamp,signal
2023-08-11 16:00:00,BUY,DIRECTIONAL,LONG,DIRECTIONAL: LONG,1.7986894860253084,100.04498212127272,0.0,1.7986894860253084,0.17994985747112321,0.08997492873556161,99819.78021774266,2023-08-11 16:00:00,"{'timestamp': Timestamp('2023-08-11 16:00:00'), 'probabilities': [0.0, 0.0378528477632775, 0.9621471522367225], 'target_pct': 0.0017994985747112322, 'signal_direction': 'LONG', 'signal_strength': 0.9621471522367225, 'confidence': 1.5, 'side': 1, 'raw_quantiles': {'q10': 0.0001545935162989, 'q50': 0.0024820669996017, 'q90': 0.0026781167005174}, 'is_position_closure': False}"
2023-08-11 20:00:00,SELL,POSITION_CLOSURE,NEUTRAL_CLOSE,POSITION_CLOSURE: NEUTRAL_CLOSE,1.7986894860253084,100.15892506442943,1.7986894860253084,0.0,0.18015480544498597,0.09007740272249298,99999.66479097948,2023-08-11 20:00:00,"{'signal_direction': 'NEUTRAL_CLOSE', 'confidence': 0, 'is_position_closure': True, 'close_details': {'close_reason': 'opposing_short_signal_0.678', 'probabilities': [0.678290928845599, 0.0194981819492925, 0.3022108892051084], 'confidence': 0.5, 'side': -1}}"
2023-08-12 04:00:00,BUY,DIRECTIONAL,LONG,DIRECTIONAL: LONG,0.9941003644750144,100.59312758001998,0.0,0.9941003644750144,0.09999966479097948,0.04999983239548974,99899.51512669132,2023-08-12 04:00:00,"{'timestamp': Timestamp('2023-08-12 04:00:00'), 'probabilities': [0.160631850436134, 0.030530426793820495, 0.8088377227700455], 'target_pct': 0.001, 'signal_direction': 'LONG', 'signal_strength': 0.8088377227700455, 'confidence': 1.5, 'side': 1, 'raw_quantiles': {'q10': -0.0002702574830407, 'q50': 0.0013753849537865, 'q90': 0.001765104303214}, 'is_position_closure': False}"
2023-08-12 07:00:00,SELL,POSITION_CLOSURE,NEUTRAL_CLOSE,POSITION_CLOSURE: NEUTRAL_CLOSE,0.9941003644750144,100.74384648166892,0.9941003644750144,0.0,0.10014949450604198,0.05007474725302099,99999.5143969556,2023-08-12 07:00:00,"{'signal_direction': 'NEUTRAL_CLOSE', 'confidence': 0, 'is_position_closure': True, 'close_details': {'close_reason': 'opposing_short_signal_0.522', 'probabilities': [0.5221164003598852, 0.025441430247029998, 0.45244216939308485], 'confidence': 0.5, 'side': -1}}"
2023-08-13 00:00:00,SELL,DIRECTIONAL,SHORT,DIRECTIONAL: SHORT,2.744440212062308,99.74740829469056,0.0,-2.744440212062308,0.2737507983729462,0.1368753991864731,100272.85456913098,2023-08-13 00:00:00,"{'timestamp': Timestamp('2023-08-13 00:00:00'), 'probabilities': [0.963387303152398, 0.036612696847602, 0.0], 'target_pct': 0.002737521277216125, 'signal_direction': 'SHORT', 'signal_strength': 0.963387303152398, 'confidence': 5.0, 'side': 0, 'raw_quantiles': {'q10': -0.0025863674750512, 'q50': -0.0021900170217729, 'q90': -0.0001455210185444}, 'is_position_closure': False}"
2023-08-13 01:00:00,BUY,DIRECTIONAL,SHORT,DIRECTIONAL: SHORT,0.24823440034043154,99.50920549883834,-2.744440212062308,-2.4962058117218766,0.02470160795535691,0.012350803977678454,100248.11590876369,2023-08-13 01:00:00,"{'timestamp': Timestamp('2023-08-13 01:00:00'), 'probabilities': [0.8257641576502462, 0.0390936581105595, 0.1351421842391942], 'target_pct': 0.002483960594363125, 'signal_direction': 'SHORT', 'signal_strength': 0.8257641576502462, 'confidence': 5.0, 'side': 0, 'raw_quantiles': {'q10': -0.002381513088842, 'q50': -0.0019871684754905, 'q90': 0.0002247307851953}, 'is_position_closure': False}"
2023-08-13 02:00:00,BUY,DIRECTIONAL,SHORT,DIRECTIONAL: SHORT,0.3248502142628351,99.35049815752811,-2.4962058117218766,-2.1713555974590415,0.03227403061359241,0.016137015306796204,100215.79346710417,2023-08-13 02:00:00,"{'timestamp': Timestamp('2023-08-13 02:00:00'), 'probabilities': [0.7572125697739509, 0.0429962777207265, 0.19979115250532262], 'target_pct': 0.0021572500871079254, 'signal_direction': 'SHORT', 'signal_strength': 0.7572125697739509, 'confidence': 5.5, 'side': 0, 'raw_quantiles': {'q10': -0.0022583630086061, 'q50': -0.001628113273289, 'q90': 0.000608055506109}, 'is_position_closure': False}"
2023-08-13 04:00:00,BUY,POSITION_CLOSURE,NEUTRAL_CLOSE,POSITION_CLOSURE: NEUTRAL_CLOSE,2.1713555974590415,99.17515803157465,-2.1713555974590415,0.0,0.21534453452074465,0.10767226726037232,100000.12591578165,2023-08-13 04:00:00,"{'signal_direction': 'NEUTRAL_CLOSE', 'confidence': 0, 'is_position_closure': True, 'close_details': {'close_reason': 'opposing_long_signal_0.449', 'probabilities': [0.5021659513290414, 0.0490770897737085, 0.4487569588972501], 'confidence': 4.5, 'side': -1}}"
2023-08-13 09:00:00,SELL,DIRECTIONAL,SHORT,DIRECTIONAL: SHORT,1.356348491547523,99.25005466639855,0.0,-1.356348491547523,0.13461766193277888,0.06730883096638944,100134.54165122153,2023-08-13 09:00:00,"{'timestamp': Timestamp('2023-08-13 09:00:00'), 'probabilities': [0.7586376044647489, 0.03812858439011099, 0.2032338111451401], 'target_pct': 0.0013461749242811103, 'signal_direction': 'SHORT', 'signal_strength': 0.7586376044647489, 'confidence': 4.0, 'side': 0, 'raw_quantiles': {'q10': -0.0020701651666572, 'q50': -0.0012237953857101, 'q90': 0.0004717404593502}, 'is_position_closure': False}"
2023-08-13 10:00:00,SELL,DIRECTIONAL,SHORT,DIRECTIONAL: SHORT,0.6975746825840707,99.03397545685829,-1.356348491547523,-2.0539231741315938,0.06908359399435658,0.03454179699717829,100203.5216198249,2023-08-13 10:00:00,"{'timestamp': Timestamp('2023-08-13 10:00:00'), 'probabilities': [0.6946619936331881, 0.061332900517887, 0.2440051058489249], 'target_pct': 0.0020340773568411977, 'signal_direction': 'SHORT', 'signal_strength': 0.6946619936331881, 'confidence': 5.5, 'side': 0, 'raw_quantiles': {'q10': -0.0030659737837527, 'q50': -0.0015351527221443, 'q90': 0.0010228862507731}, 'is_position_closure': False}"
