vol_raw_momentum,vol_raw_momentum (NEW),vol_risk,vol_risk (NEW),vol_raw_decile,vol_raw_decile (NEW)
,0.000512384,,0.000080,7,0.047839507
,8.05E-05,,0.000081,6,0.047839507
,-0.00241134,,0.000044,6,0.041049384
-0.7252515,0.000450964,,0.000050,2,0.042901233
-0.69496673,-0.002634744,,0.000020,1,0.02808642
-0.278373,0.00017076,,0.000021,5,0.030246913
0.7930764,-0.002078658,,0.000006,4,0.008641975
0.8828498,0.000194723,,0.000007,3,0.011111111
0.039566755,0.000940729,,0.000013,5,0.020679012
0.3094715,-0.000130794,,0.000012,5,0.019135803
0.30517817,0.000500374,,0.000016,5,0.024691358
-0.2831515,-0.000860917,,0.000010,4,0.016358025
-0.4082749,0.000465369,,0.000013,3,0.020987654
-0.17484188,-0.000660374,,0.000009,4,0.015740741
1.0894158,0.001367733,,0.000019,7,0.029320987
0.6518903,-9.92E-05,,0.000018,5,0.02808642
0.5107565,0.000562927,,0.000023,6,0.034876544
0.12972832,0.001017726,,0.000034,7,0.041049384
0.63767385,-0.000646852,,0.000027,7,0.037962962
0.37450194,0.000189728,,0.000029,7,0.038271606
-0.65144,-0.000509276,,0.000024,3,0.03425926
-0.62191546,-9.31E-05,,0.000023,3,0.033333335
-0.73223794,-0.00061073,,0.000017,2,0.027160494
0.061492324,-0.001773319,,0.000006,3,0.007407407
3.2377715,0.005869004,,0.000068,9,0.04691358
4.1392946,-0.000636167,,0.000058,8,0.045987654
2.7845283,5.32E-05,,0.000059,8,0.045987654
-0.7160319,-0.000109392,,0.000057,4,0.04537037
-0.57229406,0.000573445,,0.000066,5,0.046296295
-0.45137876,-1.87E-05,,0.000066,6,0.045987654
0.84763753,-0.003357197,0.469359668,0.000023,7,0.03117284
0.6332083,-0.000339349,0.483887022,0.000019,7,0.029012345
-0.11138821,0.000348883,0.347701899,0.000023,6,0.031481482
-0.18555212,3.20E-05,0.351343727,0.000023,6,0.032098766
-0.8193853,-0.000482299,0,0.000019,1,0.027469136
-0.6636703,-0.000761271,0.035918168,0.000013,1,0.018518519
-0.40169245,2.57E-05,0.170690289,0.000013,4,0.019135803
1.5168829,0.000185934,0.156947998,0.000014,3,0.021604938
-0.296817,-0.000411695,0,0.000011,1,0.015432099
-0.13245362,-0.000660824,0.14330198,0.000007,3,0.009876544
-0.059251428,1.88E-05,0.152206783,0.000007,3,0.010185185
2.9176328,0.000420624,0.341493125,0.000010,5,0.014814815
2.0806584,0.00241683,0.677140587,0.000031,8,0.039814815
3.134036,0.001983088,0.984220444,0.000057,9,0.046296295
0.71498597,-0.000267401,0.649558829,0.000053,8,0.04537037
0.15723014,0.00015144,0.780879623,0.000055,8,0.045987654
-0.943665,0.000119467,0,0.000057,0,0.046296295
-0.7687322,-0.001194013,0.097780505,0.000040,2,0.041049384
-0.6761308,2.62E-05,0.206767446,0.000040,4,0.041049384
4.1243815,-0.004366215,0.226131138,0.000004,4,0.004320988
1.3343489,0.00082836,0.324157742,0.000008,5,0.013580247
0.28006566,0.000296143,0.284805123,0.000010,5,0.015432099
-0.38453394,-1.55E-05,0.11153836,0.000010,2,0.015432099
-0.4452991,0.000423563,0.147805515,0.000012,3,0.01882716
-0.34462202,-0.000648016,0.161885916,0.000008,3,0.014506172
1.1226447,-0.000106865,0.339265162,0.000008,5,0.012345679
0.5207795,0.000125048,0.280233702,0.000008,4,0.015123457
-0.031710565,-0.000103791,0.169647149,0.000008,3,0.013271605
0.22349906,0.001219141,0.444186137,0.000016,6,0.026234567
0.10675168,-0.000113547,0.327133663,0.000015,5,0.025617285
3.1366534,0.004747212,0.949357832,0.000075,8,0.050925925
1.3338401,-0.000471381,1,0.000067,9,0.049691357
2.7697513,0.003242068,1,0.000130,9,0.053703703
0.43243635,-0.00073098,1,0.000114,9,0.05277778
0.2345891,0.001126747,0.995313809,0.000139,9,0.054012347
-0.46541655,5.15E-05,0.51127945,0.000141,8,0.054012347
-0.92669654,-0.000661882,0.019291447,0.000125,0,0.05277778
-0.92915565,7.98E-05,0.020814461,0.000127,0,0.05277778
-0.80702525,-0.00598345,0.056369983,0.000028,1,0.037037037
0.57778096,-0.004116711,0.064964541,0.000001,1,0.000617284
1.1427791,0.000315867,0.105342515,0.000002,2,0.001851852
-0.15708059,-6.72E-05,0.039234905,0.000002,1,0.00154321
4.825257,0.004861519,0.632796884,0.000040,8,0.04074074
3.4839602,0.000269904,0.656007381,0.000043,8,0.04197531
6.9453177,0.000112333,0.677853845,0.000045,8,0.042283952
-0.5486265,0.001273521,0.256707093,0.000063,5,0.04691358
-0.27328742,0.000127642,0.462322573,0.000065,7,0.04691358
-0.28816104,1.08E-05,0.455747181,0.000065,7,0.04691358
-0.39291257,-0.003183055,0.116320888,0.000024,3,0.032407407
-0.6775731,0.000216738,0.094062884,0.000026,3,0.03425926
-0.114896715,0.000824802,0.3946959,0.000035,7,0.038271606
1.9184654,0.000268461,0.484535067,0.000039,8,0.03888889
2.1359653,-0.000228939,0.456479862,0.000036,7,0.037962962
0.25945807,0.0003126,0.516720722,0.000040,8,0.03919753
-0.57799333,-0.000270273,0.16077453,0.000036,4,0.037962962
-0.09335369,0.001606721,0.406807252,0.000058,7,0.04537037
-0.15268111,-0.0002774,0.426282883,0.000054,7,0.043518517
2.7868707,0.000329588,0.819549702,0.000059,9,0.045679014
0.47291183,6.62E-05,0.634948412,0.000060,8,0.045679014
0.17816651,4.52E-05,0.515703528,0.000061,8,0.045679014
-0.63811564,0.000233962,0.248333808,0.000064,5,0.046296295
-0.5499558,-0.001515518,0.24417229,0.000042,5,0.038580246
-0.59374803,-0.001207821,0.164611848,0.000028,4,0.031481482
0.02297604,-0.001430671,0.260676435,0.000015,5,0.017901234
0.25767195,0.000383448,0.347670896,0.000018,6,0.020679012
-0.5646906,-0.000482181,0.037299654,0.000014,1,0.016975308
-0.3221426,-0.000281943,0.191934255,0.000012,4,0.013580247
0.14307904,0.002015654,0.491351599,0.000030,7,0.033333335
2.7206461,-0.000366426,0.386807731,0.000026,6,0.030246913
2.065634,0.001006879,0.783587835,0.000038,8,0.03580247
-0.25181347,-0.000209266,0.327057981,0.000035,6,0.03425926
-0.18030083,-5.64E-05,0.293894628,0.000035,5,0.033950616
-0.82340395,8.76E-05,0,0.000036,1,0.0345679
0.15453088,-0.00158552,0.387328212,0.000019,6,0.020987654
-0.12606174,-0.00045201,0.227878744,0.000015,5,0.015740741
1.4349263,-0.000173552,0.254882526,0.000014,5,0.014197531
-0.17589295,0.000565127,0.297428063,0.000019,5,0.019753087
-0.5160402,-0.00018674,0.034660646,0.000017,2,0.016666668
-0.42888767,-1.94E-05,0.081411512,0.000017,3,0.016358025
-0.37028015,-0.000887593,0.131908102,0.000010,3,0.009876544
1.2076762,-0.000297672,0.2571694,0.000009,5,0.008333334
1.2465646,0.000514554,0.369363243,0.000012,6,0.011111111
1.400104,0.001117126,0.526027388,0.000021,7,0.022222223
0.5926815,8.97E-05,0.498245071,0.000022,7,0.022839507
-0.01904428,-1.35E-06,0.359480262,0.000022,6,0.022530865
-0.7708248,-0.000346415,0.005248815,0.000019,1,0.01882716
-0.54823387,2.85E-05,0.145876161,0.000019,4,0.019444445
0.14313734,0.000361176,0.434196881,0.000022,7,0.022839507
2.3827126,-0.000589881,0.462800023,0.000017,6,0.015740741
2.0344746,0.001576498,0.981503144,0.000032,8,0.03271605
-0.36452383,0.000159903,0.286864163,0.000034,5,0.033333335
0.48021436,0.00052283,0.807313569,0.000041,8,0.03765432
-0.33669192,9.76E-05,0.568319816,0.000042,7,0.038271606
0.38288105,-0.00149859,0.468605978,0.000025,6,0.02654321
-0.6087841,8.42E-05,0.20150131,0.000026,4,0.026851851
-0.2731821,-0.000606717,0.361760084,0.000020,5,0.019753087
-0.14685148,-0.000261052,0.362564929,0.000017,5,0.015740741
1.7308533,0.00118938,0.87341773,0.000029,8,0.030246913
0.3513986,-2.73E-05,0.548037045,0.000029,7,0.029938271
0.25830746,-0.000288476,0.509443924,0.000026,6,0.027777778
-0.72791684,0.00024551,0.094372148,0.000028,2,0.02962963
-0.44849014,-0.000944694,0.225924735,0.000019,4,0.018518519
-0.3256263,-8.32E-05,0.297658319,0.000018,5,0.016975308
2.7616715,0.001076783,0.967453064,0.000029,8,0.03117284
1.6755316,0.00026533,0.968297775,0.000032,8,0.033950616
1.1590986,1.72E-05,0.889776208,0.000032,8,0.033950616
-0.76694024,-0.000127442,0.047855903,0.000030,2,0.032407407
-0.75566417,-0.000157308,0.063300766,0.000029,2,0.029938271
-0.8064938,-0.000409536,0,0.000024,1,0.025
3.0446754,0.001998595,0.890743702,0.000048,8,0.042283952
3.3785815,0.001986474,1,0.000080,8,0.05123457
0.32936823,0.000159078,0.06774838,0.000082,2,0.05185185
0.32635248,-0.000316783,1,0.000077,8,0.050617285
0.017762184,-0.000576593,0.898250822,0.000067,8,0.049074072
3.566689,-0.000497034,0.90421467,0.000059,8,0.046296295
-0.22540927,0.000650461,0.765709394,0.000070,8,0.05
0.43801558,0.001687705,1,0.000101,9,0.05277778
-0.15883386,-0.001665866,0.571659542,0.000070,8,0.05030864
0.34926188,0.000404726,0.863413866,0.000077,9,0.05185185
-0.29818624,0.001139877,0.698910801,0.000098,8,0.053395063
0.24646294,-0.002212677,0.740927282,0.000059,8,0.046296295
-0.06796563,0.001522986,0.784319286,0.000085,8,0.05308642
0.2743367,0.000224641,0.93220283,0.000089,9,0.05308642
0.18991911,-0.00015639,0.889858803,0.000086,9,0.05277778
-0.31184894,-0.001472187,0.481374631,0.000061,7,0.045987654
-0.56348467,0.000114998,0.314307396,0.000063,6,0.045987654
-0.56736434,-4.35E-05,0.300983175,0.000062,6,0.045679014
-0.19751132,-0.002301484,0.357055028,0.000031,7,0.03117284
-0.12716001,-0.00134129,0.255513309,0.000018,6,0.014506172
-0.11424303,-9.14E-05,0.249683642,0.000017,5,0.013580247
2.8431947,0.010791632,1,0.000223,9,0.055555556
3.3711066,-0.000900376,1,0.000197,9,0.055246912
3.9714837,0.000782842,1,0.000220,9,0.055246912
-0.68322164,0.001606033,0.256696918,0.000270,7,0.055555556
-0.6464381,-0.000341272,0.261510995,0.000259,7,0.055246912
-0.63186455,-6.95E-06,0.318820381,0.000259,8,0.05493827
-0.63665277,-0.009643687,0.041445457,0.000041,3,0.036728393
-0.22019058,-5.18E-06,0.185077278,0.000041,6,0.036419753
-0.3370161,-0.000174347,0.183009164,0.000039,6,0.0345679
0.8367286,-0.001112321,0.121989149,0.000027,6,0.025925925
0.109072804,8.67E-05,0.194769567,0.000027,7,0.026234567
0.06907117,-0.000116481,0.181528929,0.000026,7,0.025
-0.15251034,-0.00110541,0.043605633,0.000016,5,0.011728395
-0.6616446,-8.57E-05,0,0.000015,2,0.011111111
-0.64144146,-0.000172878,0,0.000014,2,0.009876544
0.012465596,-0.00020957,0.094697406,0.000013,5,0.008641975
0.64111626,-0.000233989,0.06519958,0.000011,4,0.006790123
1.5529041,0.000493309,0.16205147,0.000014,6,0.011419754
-0.22847718,-0.000452564,0.049589785,0.000011,4,0.007407407
0.27715838,0.000246732,0.111742622,0.000013,5,0.009876544
-0.07201183,0.001164056,0.142984086,0.000023,6,0.023148147
5.345323,0.007300271,0.863787268,0.000146,9,0.053703703
3.2463222,0.000541898,0.807989305,0.000159,9,0.053703703
2.710306,0.001304424,0.808943921,0.000193,9,0.053703703
-0.38779986,-6.63E-07,0.488972082,0.000193,9,0.053395063
-0.62994456,-0.000398556,0.234286776,0.000183,7,0.05308642
-0.89196074,-0.001308235,0,0.000149,2,0.052469134
-0.81019753,-0.004834405,0.012659769,0.000054,2,0.03888889
-0.36867958,-0.002086398,0.112806023,0.000028,5,0.026234567
1.993984,-0.000780175,0.194681939,0.000020,7,0.019135803
0.89500976,-0.0001938,0.112862255,0.000019,5,0.016358025
1.5531936,0.002837632,0.45532014,0.000051,9,0.037962962
0.33469355,-1.59E-05,0.303774569,0.000051,8,0.03765432
0.67218983,0.000487651,0.301139545,0.000058,7,0.0404321
