,q10,q50,q90,truth,$btc_dom,$fg_index,$high_vol_flag,$momentum_10,$momentum_48,$momentum_5,$realized_vol_3,$realized_vol_6,$realized_vol_9,$relative_volatility_index,OPEN1,OPEN2,OPEN3,VOLUME1,VOLUME2,VOLUME3,btc_dom_high,btc_dom_low,btc_std_7d,btc_zscore_14d,fg_extreme_fear,fg_extreme_greed,fg_std_7d,fg_zscore_14d,vol_raw,vol_raw_decile,vol_extreme_high,vol_high,vol_low,vol_extreme_low,vol_risk,vol_raw_momentum,spread,abs_q50,signal_thresh_adaptive,spread_thresh,signal_rel,prob_up,signal_tier,kelly_position_size,signal_tanh,side
q10,1,-0.101733881,-0.74962078,0.210931212,-0.046223563,0.024966341,-0.041953169,0.106716322,0.112279643,0.101813082,-0.567027553,-0.644945167,-0.685239475,-0.085054356,-0.092950146,-0.112435017,-0.12150069,0.000719194,-0.000412935,-0.000260729,-0.126491072,0.007351293,-0.507770188,0.000252346,-0.262146904,-0.189644132,-0.227500399,0.140993075,-0.567027553,-0.523495324,-0.454968153,-0.444051449,0.360100331,0.304795777,-0.136426965,-0.017761878,-0.938023325,-0.278441692,-0.399821312,-0.770676653,-0.092047051,0.095147299,-0.100079559,-0.007696359,-0.093717161,-0.05671439
q50,-0.101733881,1,0.201816188,0.095369337,0.081067391,0.075351618,0.070552128,-0.293824972,-0.051394871,-0.459471227,0.141309304,0.122676396,0.11659696,0.098447135,0.508643016,0.503149961,0.510850878,0.004638638,0.006086613,0.005405511,0.036783368,-0.066485254,0.092116522,0.231506242,0.013505826,0.069895323,0.035649943,0.048013889,0.141309304,0.163941038,0.11253555,0.140607806,-0.130231898,-0.121160496,0.126929854,0.034794684,0.16117248,0.593312278,0.176425181,0.09299303,0.497211997,0.788843244,0.524750103,0.014603786,0.51394412,0.464328449
q90,-0.74962078,0.201816188,1,0.122277818,0.125177571,0.015964226,0.035303054,-0.084959025,-0.090076223,-0.061314643,0.627823081,0.721358692,0.771099797,0.091384353,0.066915049,0.077159869,0.082377777,-0.001558025,0.000134179,-0.000205174,0.194440322,-0.079717545,0.543744549,0.15540393,0.287989341,0.253012092,0.234776034,-0.123262098,0.627823081,0.586631322,0.504497363,0.5043083,-0.406310063,-0.354171153,0.154385587,0.020697415,0.932546632,0.356229479,0.499920413,0.829468485,0.120210239,0.036351706,0.127571715,0.00794287,0.12240836,0.089874123
truth,0.210931212,0.095369337,0.122277818,1,0.013854299,0.012014605,-0.00377558,-0.002930791,-0.000913986,-0.01279693,0.01032101,0.009836693,0.00963275,0.000337674,0.015928171,0.018795993,0.016014812,-0.000159651,-0.001119013,-0.000742499,0.011423438,-0.017212369,-0.002867742,0.035059546,-0.002735222,0.013495676,-0.003351399,0.013891449,0.01032101,0.00318012,0.002416687,0.007166536,-0.000458366,-0.003768501,0.004906693,-0.003560317,-0.051035188,0.045392938,0.01722348,0.006121101,0.030201492,0.098348663,0.030784656,9.46E-06,0.030723006,0.036515585
$btc_dom,-0.046223563,0.081067391,0.125177571,0.013854299,1,0.2580245,-0.007734198,0.040090014,0.08206016,0.028713553,0.060773837,0.070085162,0.076124986,0.003348396,-0.016819452,-0.020318156,-0.023318413,-0.000420279,0.000705168,0.000740825,0.777763684,-0.568293831,0.19748086,0.083709407,-0.010207712,0.24649895,0.111282352,0.036389482,0.060773837,0.051730324,0.038112219,0.035177431,-0.042087604,-0.043822209,0.009842979,0.00355168,0.09076144,-0.028603649,-0.012986174,0.109642034,-0.022499468,0.063308624,-0.014130857,0.002948925,-0.019316093,0.004048505
$fg_index,0.024966341,0.075351618,0.015964226,0.012014605,0.2580245,1,0.002911043,0.065263904,0.25378187,0.039042184,-0.02634057,-0.036013669,-0.044051696,0.019882213,-0.022583531,-0.029333017,-0.035441625,0.00722,0.005007356,0.007190284,0.068494183,-0.328318557,0.083031116,-0.042162461,-0.483105261,0.468757045,-0.034602563,0.277941321,-0.02634057,0.002866818,-0.018693489,0.004394044,-0.012455296,-0.0109758,0.032868932,-0.008413166,-0.005259859,0.041303731,0.020036357,-0.044149368,0.025439761,0.068902812,0.030519544,0.001348942,0.026642413,0.014234049
$high_vol_flag,-0.041953169,0.070552128,0.035303054,-0.00377558,-0.007734198,0.002911043,1,-0.031956848,-0.016209027,-0.0314976,0.33971467,0.339276144,0.204036333,0.778723818,0.016222647,0.023262806,0.031703702,-0.003174049,-0.003878219,-0.003612888,-0.014058802,0.002914486,-0.019346733,0.016097463,-0.009763585,-0.007748301,-0.01141874,0.000397832,0.33971467,0.3232344,0.309984177,0.287179656,-0.201295915,-0.162617637,0.495943915,0.118379499,0.041371157,0.046551399,-0.107835395,-0.046924849,0.112364161,0.055587206,0.116531016,0.00493247,0.12241614,0.163231292
$momentum_10,0.106716322,-0.293824972,-0.084959025,-0.002930791,0.040090014,0.065263904,-0.031956848,1,0.450870862,0.696939519,-0.074313777,-0.074170978,-0.065017097,-0.033891744,-0.44177292,-0.540280369,-0.624240485,-0.001708619,-0.00119956,-0.001655083,0.02677247,-0.042226592,-0.007159553,0.083577333,-0.035129122,0.052706925,-0.012459449,0.101394551,-0.074313777,-0.01912461,-0.025358259,-0.015246292,0.007130864,0.002461808,-0.033673119,0.003455986,-0.102700772,-0.211773896,-0.04472605,-0.030445287,-0.179005979,-0.190710223,-0.192633616,-0.012223296,-0.184289198,-0.154317643
$momentum_48,0.112279643,-0.051394871,-0.090076223,-0.000913986,0.08206016,0.25378187,-0.016209027,0.450870862,1,0.321084584,-0.09389214,-0.103876837,-0.109974796,-0.010492816,-0.208075445,-0.253621634,-0.292055113,-0.002849254,-0.001770537,-0.002843059,0.04506929,-0.078624211,-0.005522826,0.129519622,-0.171949001,0.161026972,-0.048275975,0.44896014,-0.09389214,-0.0149067,-0.040580186,-0.009500013,-0.00881382,-0.010153737,-0.009535235,0.006479116,-0.108415076,-0.078872848,-0.06919395,-0.13845108,-0.040432914,-0.015534054,-0.047832445,-0.00702071,-0.041647106,-0.022492598
$momentum_5,0.101813082,-0.459471227,-0.061314643,-0.01279693,0.028713553,0.039042184,-0.0314976,0.696939519,0.321084584,1,-0.061554232,-0.033963309,-0.018073586,-0.026623723,-0.623508126,-0.761994707,-0.885119442,-0.003852584,-0.005346709,-0.004839794,0.019315907,-0.033051607,-0.004635851,0.062963494,-0.016403184,0.034545856,-0.008220158,0.055319073,-0.061554232,-0.013993686,-0.018721927,-0.008493018,0.006649637,0.002462652,-0.030779426,-0.004620316,-0.087645197,-0.296052461,-0.018111725,-0.012214924,-0.270626731,-0.297682176,-0.297733298,-0.011248448,-0.281743048,-0.249216819
