,q10,q50,q90,truth,$btc_dom,$fg_index,$high_vol_flag,$momentum_10,$momentum_25,$momentum_5,$realized_vol_6,$relative_volatility_index,OPEN1,RSV1,RSV2,RSV3,VOLUME1,btc_std_7d,btc_zscore_14d,fg_std_7d,fg_zscore_14d,vol_momentum_scaled,vol_raw,vol_raw_decile,vol_raw_momentum,vol_risk,vol_scaled,prob_up,vol_regime_low,vol_regime_medium,vol_regime_high,momentum_regime_trending,momentum_regime_ranging,regime_low_vol_trending,regime_low_vol_ranging,regime_high_vol_trending,regime_high_vol_ranging,regime_stability,spread,abs_q50,market_variance,prediction_variance,total_risk,enhanced_info_ratio,info_ratio,potential_gain,potential_loss,expected_value,variance_regime_low,variance_regime_medium,variance_regime_high,variance_regime_extreme,signal_thresh_adaptive,effective_info_ratio_threshold,economically_significant_traditional,economically_significant_expected_value,economically_significant_combined,economically_significant,high_quality,tradeable,q50_x_low_variance,q50_x_high_variance,q50_x_extreme_variance,q50_x_trending,spread_x_high_variance,vol_risk_x_abs_q50,enhanced_info_ratio_x_trending,signal_to_variance_ratio,variance_adjusted_signal,signal_tier,kelly_position_size,side,signal_strength,position_size_suggestion
q10,1.0,-0.06254793158151842,-0.7503346808301853,0.2085941720033846,-0.059401698905737134,0.030239970847167067,-0.027831558060531066,0.11307221293139268,0.11638842270919116,0.09687241890591142,-0.6370058954219789,-0.06310356003906398,-0.07209102991118715,0.012022824816593326,0.013764586724493513,0.02156142640552791,-0.0030047853047423492,-0.5167080885329356,0.004249642844956046,-0.24218481170736178,0.1611431996749175,-0.043354183147547874,-0.6370058954219789,-0.2068608971090047,-0.04335418199707282,-0.4087071537029845,-0.10304318667206389,0.10572122654890229,,,,,,,,,,0.15719824724805093,-0.9370199288910006,-0.1878454017784705,-0.4087071537029845,-0.8389104471752215,-0.7970019567214167,0.3146034537961476,0.32229884330046665,-0.8305006172605024,-0.9246002821916907,0.0922080390892056,0.40944358235253103,0.07766793757423636,-0.22807836436031867,-0.4481559687085258,-0.6180715432919841,-0.5453019730932619,0.032627201164605005,-0.07960027930670235,-0.05762940432121005,-0.07960027930670235,,-0.07960027930670235,0.09033276338857545,-0.07841399808956868,-0.20625488366660788,,-0.34641071547972446,-0.3664741793085523,,-0.04434955063039951,-0.03232303897266136,0.06658505617192743,0.10781132343987634,-0.0252764314278033,0.08930973999134008,-0.03562152888103314
q50,-0.06254793158151842,1.0,0.17150970163733845,0.09589187844333735,0.11002304713884438,0.1072336839166549,0.05883220396795868,-0.3062297949769107,-0.1622955196259033,-0.43426372832875304,0.0911089960939642,0.07490548823376932,0.5002833230819437,-0.3921102997559742,-0.5580013792370823,-0.6143308302096004,0.002604949721727738,0.09754039930637091,0.23599057302130516,0.03813142741844773,0.039043940039154526,0.030076629704591424,0.0911089960939642,0.11407522247759147,0.030076629301011328,0.028828781619784655,0.08825749325153721,0.7649723614011655,,,,,,,,,,-0.012661986812078823,0.12443044769677701,0.616157274561232,0.028828781619784655,0.08972036182013744,0.11005785193027205,0.38919111737670026,0.43219440042114526,0.14817450950518207,0.08387258675732794,0.25483745902789395,-0.10129754446055561,0.018447975163468834,0.04622726361382611,0.06297281000024997,0.09330574124771572,0.09750397822743889,0.3557045941231694,0.3347512258982735,0.3790045099531737,0.3347512258982735,,0.3347512258982735,0.42264779738901004,0.4699760976140749,0.3528379731518962,,0.055366173679703146,0.12391268479197834,,0.576042643139553,0.9900955092270012,0.5015920474993348,0.3416867279467231,0.43004429627512364,0.451471678558186,0.3321428882992542
q90,-0.7503346808301853,0.17150970163733845,1.0,0.16434290295873738,0.11835722309320808,0.01541181046814631,0.04397653133680527,-0.0653361448564169,-0.09346938790300191,-0.050936287078509945,0.6951151987370802,0.10315831831047895,0.05567587903337789,0.008831236499047247,0.008548275589130152,0.010276867082903086,0.0010019191995827511,0.5292671530929969,0.15068493239560102,0.22772466992708693,-0.12582979648997025,0.060588400803230094,0.6951151987370802,0.2736605564649469,0.06058840013101769,0.43551486320542787,0.1364659180113839,0.04053691652350726,,,,,,,,,,-0.16979042111261122,0.9339702252986192,0.26676269861258,0.43551486320542787,0.7887913693049331,0.8321190004601755,-0.3012350163636323,-0.28437769681475894,0.9249602954512136,0.8217351889471711,0.2103077783150274,-0.46760535565131717,-0.06827355120479929,0.2418231651240386,0.5033320945970764,0.6817723922440108,0.6161370544028675,0.0006249667968729995,0.28572732760913505,0.2737903638442998,0.28572732760913505,,0.28572732760913505,-0.07249158899891904,0.13874646775004373,0.2962156981069261,,0.3411191665531747,0.4074838709579791,,0.10309499994255547,0.13105177744495441,-0.03195683938765237,0.019150849794541038,0.30789613253733894,0.06139917927872037,0.23236577351036167
truth,0.2085941720033846,0.09589187844333735,0.16434290295873738,1.0,0.013854298698138893,0.012014604982388549,-0.003775579500761274,-0.0029307912002618313,-0.009149378521863418,-0.012796930281103482,0.009836693041613696,0.0003376736680900227,0.01592817056658357,-0.006808627157455064,-0.006156815585717198,-0.005910331188170697,-0.000159651004886849,-0.0028677422050417964,0.035059545589140054,-0.003351399499973811,0.013891448545121357,-0.009778163920308775,0.009836693041613696,0.0022144135218082036,-0.009778163726487946,0.02018349531159419,-0.0001539565221768756,0.0940483746383533,,,,,,,,,,-0.00010630836655466175,-0.02592856084199406,0.050446151651053865,0.02018349531159419,-0.04439263900095282,-0.005079747707252603,0.03060055074173513,0.03670382203494145,0.0438653496545253,-0.09430675590932251,0.21216696816189864,-0.0061811715312195285,0.005008101965774591,-0.001189307961037785,0.0028495939818615704,0.011381478990154573,0.005174283995212384,0.03211998194524808,0.10796038594868788,0.1189839361383253,0.10796038594868788,,0.10796038594868788,0.025658364492509564,0.05417619410485244,0.06677175423311713,,-0.015704808138005545,0.03556798755806804,,0.04214314241411888,0.08811483290557551,0.038038788965396135,0.07238557114354309,0.16490034886187685,0.08867191071734512,0.10137573600963926
$btc_dom,-0.059401698905737134,0.11002304713884438,0.11835722309320808,0.013854298698138893,1.0,0.2580244996737947,-0.007734197757910841,0.04009001402082047,0.059651879885141285,0.028713553048977953,0.0700851615900809,0.0033483956234423556,-0.01681945196815171,0.031248571296555637,0.037128213748872,0.04035182321003429,-0.00042027862389566593,0.19748085982764021,0.08370940713850487,0.11128235222803333,0.036389482316904476,-0.00040895219851832604,0.0700851615900809,0.002711487063786329,-0.00040895232376613556,0.04969869314919586,0.005692475234836922,0.0808875418791542,,,,,,,,,,-0.45867835966443044,0.09464609546485919,0.018217528455430627,0.04969869314919586,0.08403341394029362,0.08582707032998611,-0.06360753183078148,-0.057563699936670806,0.10634686187069284,0.07031032056814973,0.0726443811454027,-0.03296438799130393,-0.003511720701854216,-0.0007835343803298795,0.05713281640802384,0.061365533214224756,0.06034094737078701,0.03519600175533119,0.09766840726629433,0.09053368979980787,0.09766840726629433,,0.09766840726629433,0.014622602464692174,0.06888036271253889,0.0692205251185602,,0.01917456603165766,0.05369772428336829,,-0.0061324331685339685,0.10440477397999148,0.00649308956249807,0.04391878579826632,0.11374171048532485,0.06002807322904256,0.09133258938698373
$fg_index,0.030239970847167067,0.1072336839166549,0.01541181046814631,0.012014604982388549,0.2580244996737947,1.0,0.002911043185398274,0.0652639035826247,0.15148916249947506,0.03904218386372013,-0.036013669391416106,0.019882213291726264,-0.02258353096970971,0.040434036050292305,0.050298255763798684,0.05807139212806312,0.007220000386193437,0.08303111583195638,-0.04216246124837162,-0.03460256318844262,0.2779413210710148,0.0024969161149442035,-0.036013669391416106,0.012362879635379983,0.0024969161439521185,-0.04384434135527025,0.03191448588799592,0.08292746426313435,,,,,,,,,,0.1876181184271558,-0.008203975577124522,0.11005399735875472,-0.04384434135527025,-0.030025903818762578,-0.029493965268604504,0.06313708186809175,0.062171408859412705,0.002680829209222268,-0.018327200921942722,0.04737032665714368,-0.021920593339660985,0.03833644123419486,0.006240917383950029,-0.03743867481884929,-0.029703828912421976,-0.0187759917221601,0.08267546301659155,0.0721661176810085,0.07975379920310971,0.0721661176810085,,0.0721661176810085,0.026323912078201662,0.05580991162105901,0.04283117819243596,,-0.0001728849004806966,-0.012508984153233578,,0.11544017247575235,0.1056014509504893,0.10898543584831587,0.09757661588524708,0.08795227872403746,0.11802898823221226,0.0791898431572233
$high_vol_flag,-0.027831558060531066,0.05883220396795868,0.04397653133680527,-0.003775579500761274,-0.007734197757910841,0.002911043185398274,1.0,-0.031956847977782914,-0.021048340078995025,-0.03149759964074341,0.33927614448748705,0.7787238175207938,0.016222647326771356,0.005891907758938736,0.0029163326131329973,-0.0030572340797747006,-0.003174049174267335,-0.019346733252570476,0.016097463267661406,-0.011418739863322785,0.0003978324422648536,0.23325553166085364,0.33927614448748705,0.49998445420409315,0.23325553182970718,0.16318822281168538,0.6397486951961698,0.06928667552141325,,,,,,,,,,0.02338383591697267,0.03828040431681324,0.005005654322442273,0.16318822281168538,0.02410817172141251,0.2420922668046758,-0.15428485784438337,-0.029107245798119963,0.03941911416202619,0.032156801056115035,0.023374830357536423,-0.24733961328531653,-0.07708915265384646,0.18696637600837657,0.25441023805663293,0.3473429730816241,0.31667005027980977,-0.07393448158088449,0.05460590314056832,0.04670800733788548,0.05460590314056832,,0.05460590314056832,-0.052478958135596214,0.08037275227897908,0.11677835438844988,,0.09889844152142363,0.1364166406573117,,-0.06338960175439246,0.04320007848033538,-0.12672960358224716,-0.04932024443802178,0.056429327805368475,-0.03128890314264503,0.03551796703431883
$momentum_10,0.11307221293139268,-0.3062297949769107,-0.0653361448564169,-0.0029307912002618313,0.04009001402082047,0.0652639035826247,-0.031956847977782914,1.0,0.6441037017721144,0.6969395187357348,-0.07417097833646233,-0.0338917435916393,-0.441772919509786,0.130905295383108,0.19870908623285644,0.26294886964024,-0.0017086194479307595,-0.007159552940397942,0.08357733266285221,-0.012459448659419704,0.1013945505450633,-0.024644155194312425,-0.07417097833646233,-0.03631459040247299,-0.024644154532937532,-0.11897699895969166,-0.044425690207593134,-0.17861438569180854,,,,,,,,,,4.562188905163362e-05,-0.09564482488724753,-0.1387414884483186,-0.11897699895969166,-0.15544383777310247,-0.08790549037250404,-0.07055796226970164,-0.08055872625764324,-0.08124105736923862,-0.09801930476877269,-0.027082192326156804,-0.0031493327132324006,0.015787383610786437,0.01727141544134887,-0.04399786389333271,-0.06606354491028395,-0.03285389685047267,-0.05813509658500315,-0.04079194707656801,-0.04798300533572487,-0.04079194707656801,,-0.04079194707656801,-0.06017601567615444,-0.1878399226772839,-0.18816389947811082,,0.007525188914047089,-0.1380764873865477,,-0.10332334818014038,-0.29166383965273285,-0.09321180259805723,-0.049390342259961945,-0.06391348890920129,-0.07415836178460469,-0.027318025784383956
$momentum_25,0.11638842270919116,-0.1622955196259033,-0.09346938790300191,-0.009149378521863418,0.059651879885141285,0.15148916249947506,-0.021048340078995025,0.6441037017721144,1.0,0.4492295258381267,-0.0987542915821503,-0.019822204362267122,-0.28277979665347586,0.09141744600238981,0.12205542214742214,0.15517073501979411,-0.0008266180565181724,-0.0072321732351905066,0.10821370005174868,-0.026884697167538035,0.2689578799457632,-0.011968098597735928,-0.0987542915821503,-0.04980266064110717,-0.011968098166470247,-0.14452166520172813,-0.04018440154461703,-0.08678803782507662,,,,,,,,,,-0.00018704387028553306,-0.11230192864193894,-0.06504140907125568,-0.14452166520172813,-0.19026918902705106,-0.10919993889933437,-0.02852395953418772,-0.030806558382579258,-0.09379276915421639,-0.11672773676125325,0.0027393415150837592,-0.0052164429632672125,0.025658279746695604,0.02015967748354265,-0.06081001667701734,-0.0842042727125342,-0.044995706991468654,-0.020613672422411928,0.0010236633789633314,-0.0023603941750369502,0.0010236633789633314,,0.0010236633789633314,-0.027265734863645148,-0.09943991599413234,-0.10574961591922605,,0.011745775164556013,-0.13412963825473995,,-0.03139104413761757,-0.15253748210373952,-0.03535576447320403,-0.009671524159430168,-0.016219418202054733,-0.021308909758598907,0.01741547141881396
$momentum_5,0.09687241890591142,-0.43426372832875304,-0.050936287078509945,-0.012796930281103482,0.028713553048977953,0.03904218386372013,-0.03149759964074341,0.6969395187357348,0.4492295258381267,1.0,-0.03396330936313221,-0.026623723311757434,-0.6235081260543199,0.18642841289493292,0.30216543811755375,0.40821161429438535,-0.0038525844976661856,-0.004635851187120713,0.06296349431084446,-0.008220157929823267,0.05531907333045484,-0.053144605160470884,-0.03396330936313221,-0.012432400775539263,-0.05314460456867385,-0.055888125173708676,-0.0262624961754036,-0.26158086488920584,,,,,,,,,,-6.705299431016394e-05,-0.07927934586051191,-0.26969023905794287,-0.055888125173708676,-0.1323713416619289,-0.054705788499658896,-0.14885031052735406,-0.1699124909825772,-0.0768980583983584,-0.07142450710554667,-0.07754390038192197,-0.005485347116667735,0.010485058621232519,0.010589793877858815,-0.022862320455706457,-0.03013773228747048,-0.015235295936556698,-0.0989254616750269,-0.0759147969107545,-0.09685642167345097,-0.0759147969107545,,-0.0759147969107545,-0.08914978879469881,-0.26399631102592047,-0.28039591231578176,,-0.0005776176846784255,-0.15685832895300178,,-0.22258813300488411,-0.410906115782434,-0.17286888001253348,-0.08685775117339935,-0.11171315087997077,-0.12677035910982357,-0.065171002679481
