,0
Column_6,3096.3473964333534
Column_12,2861.3168378919363
Column_7,2453.6035949736834
Column_17,2440.128049314022
Column_9,2350.09343162179
Column_4,2344.3820261210203
Column_19,2319.918006852269
Column_5,2265.4815690666437
Column_3,2228.214794203639
Column_22,2202.287986934185
Column_8,2100.4186989814043
Column_15,2088.923190176487
Column_13,2044.308167591691
Column_14,2034.3065042495728
Column_0,2031.829059034586
Column_10,1914.4950123429298
Column_11,1907.567171037197
Column_16,1906.508057281375
Column_1,1640.345063522458
Column_2,10.855103880167007
Column_18,0.0
Column_20,0.0
Column_21,0.0
